app_id,title,rating,rating_score,genres,metacritic_score
220200,Kerbal Space Program,Overwhelmingly Positive,93.49,"Indie,Simulation",88
214770,Guacamelee! Gold Edition,Very Positive,90.14,"Action,Adventure,Indie",88
560130,Pillars of Eternity II: Deadfire,Very Positive,85.74,RPG,88
221910,The Stanley Parable,Very Positive,90.73,"Adventure,Indie",88
1057090,Ori and the Will of the Wisps,Overwhelmingly Positive,95.13,Action,88
48000,LIMBO,Very Positive,91.7,"Action,Adventure,Indie",88
1345860,Grapple Dog,Very Positive,83.97,"Action,Adventure,Indie",88
115800,Owlboy,Very Positive,81.89,"Action,Adventure,Indie",88
6830,Commandos 2: Men of Courage,Very Positive,82.07,Strategy,87
231160,The Swapper,Very Positive,91.48,"Action,Adventure,Indie",87
1127500,Mini Motorways,Overwhelmingly Positive,93.6,"Casual,Indie,Simulation,Strategy",87
210970,The Witness,Very Positive,83.29,"Adventure,Indie",87
380,Half-Life 2: Episode One,Overwhelmingly Positive,93.57,Action,87
3830,Psychonauts,Overwhelmingly Positive,92.74,Action,87
247080,Crypt of the NecroDancer,Overwhelmingly Positive,93.74,"Action,Indie,RPG",87
304430,INSIDE,Overwhelmingly Positive,94.77,"Action,Adventure,Indie",87
300550,Shadowrun: Dragonfall - Director's Cut,Very Positive,86.66,"Adventure,Indie,RPG,Strategy",87
2640,Call of Duty: United Offensive,Very Positive,83.57,Action,87
9340,Company of Heroes: Opposing Fronts,Very Positive,86.56,"Action,Strategy",87
747350,Hellblade: Senua's Sacrifice VR Edition,Very Positive,82.81,"Action,Adventure,Indie",87
1150690,OMORI,Overwhelmingly Positive,96.15,"Adventure,Indie,RPG",87
393520,Iconoclasts,Very Positive,83.98,"Action,Adventure,Indie",87
412830,STEINS;GATE,Overwhelmingly Positive,94.85,Adventure,87
436320,Raw Data,Very Positive,75.05,"Action,Indie,Strategy",87
40800,Super Meat Boy,Very Positive,92.78,Indie,87
269050,Year Walk,Very Positive,86.92,"Adventure,Indie",87
594570,Total War: WARHAMMER II,Very Positive,91.67,"Action,Strategy",87
736260,Baba Is You,Overwhelmingly Positive,95.52,Indie,87
763890,Wildermyth,Overwhelmingly Positive,92.5,"Indie,RPG,Strategy",87
1345820,Ragnarock,Overwhelmingly Positive,90.72,"Casual,Indie,Racing,Sports",87
1659040,HITMAN 3,Very Positive,81.23,"Action,Adventure",87
239140,Dying Light,Overwhelmingly Positive,94.16,"Action,RPG",87
881420,Six Ages: Ride Like the Wind,Very Positive,76.52,"RPG,Simulation,Strategy",87
336140,Unavowed,Overwhelmingly Positive,91.27,"Adventure,Indie,RPG",87
1252330,DEATHLOOP,Mostly Positive,75.38,Action,87
97110,Kohan: Immortal Sovereigns,Very Positive,73.64,Strategy,87
1446780,MONSTER HUNTER RISE,Very Positive,85.23,Action,87
6850,Hitman 2: Silent Assassin,Very Positive,80.98,Action,87
264710,Subnautica,Overwhelmingly Positive,95.44,"Adventure,Indie",87
367520,Hollow Knight,Overwhelmingly Positive,96.12,"Action,Adventure,Indie",87
858260,Until You Fall,Very Positive,90.56,"Action,Adventure,Indie",87
1300600,Blind Drive,Very Positive,87.24,"Action,Indie",87
41050,Serious Sam Classic: The First Encounter,Overwhelmingly Positive,91.75,"Action,Indie",87
294100,RimWorld,Overwhelmingly Positive,96.8,"Indie,Simulation,Strategy",87
251470,TowerFall Ascension,Overwhelmingly Positive,90.79,"Action,Indie",87
230230,Divinity: Original Sin (Classic),Very Positive,89.23,"Adventure,Indie,RPG,Strategy",87
597220,West of Loathing,Overwhelmingly Positive,94.55,"Adventure,Indie,RPG",87
1190170,OlliOlli World,Very Positive,86.96,"Action,Indie,Sports",87
254820,Ground Control Anthology,Very Positive,78.05,Strategy,86
364360,Total War: WARHAMMER,Mostly Positive,77.02,"Action,Strategy",86
1142710,Total War: WARHAMMER III,Mixed,73.41,"Action,Strategy",86
368370,Her Story,Very Positive,87.04,"Adventure,Casual,Indie,Simulation",86
356400,Thumper,Very Positive,88.42,"Action,Indie",86
